;LOPE_AmorConVista(1626)cate;LOPE_AmorPleitoYDesafio(1621)cate;LOPE_AyVerdadesQueEnAmor(1625)cate;LOPE_BastardoMudarra(1612)cate;LOPE_BatallaDelHonor(1608)cate;LOPE_Benavides(1600)cate;LOPE_BizarriasDeBelisa(1634)cate;LOPE_BrasilRestituido(1625)cate;LOPE_BuenaGuarda(1610)cate;LOPE_BurgalesaDeLerma(1613)cate;LOPE_CaballeroDelSacramento(1610)cate;LOPE_CardenalDeBelen(1610)cate;LOPE_CarlosQuintoEnFrancia(1604)cate;LOPE_CastigoSinVenganza(1631)cate;LOPE_CoronaDeHungria(1623)cate;LOPE_CoronaMerecida(1603)cate;LOPE_CuerdoLoco(1602)cate;LOPE_DamaBoba(1613)cate;LOPE_DelMonteSale(1627)cate;LOPE_DesdenVengado(1617)cate;LOPE_DiscordiaEnLosCasados(1611)cate;LOPE_EstefaniaLaDesdichada(1604)cate;LOPE_FavorAgradecido(1593)cate;LOPE_GalanDeLaMembrilla(1615)cate;LOPE_HermosaEster(1610)cate;LOPE_LoQuePasaEnUnaTarde(1617)cate;LOPE_MarquesDeLasNavas(1624)cate;LOPE_MasPuedenCelos(1627)cate;LOPE_MayorVictoriaDeAlemania(1622)cate;LOPE_NinezDelPadreRojas(1625)cate;LOPE_PedroCarbonero(1603)cate;LOPE_PoderEnElDiscreto(1623)cate;LOPE_PrincipeDespenado(1602)cate;LOPE_PruebaDeLosAmigos(1604)cate;LOPE_QuienMasNoPuede(1616)cate;LOPE_SantiagoElVerde(1615)cate;LOPE_SembrarEnBuenaTierra(1616)cate;LOPE_SinSecretoNoHayAmor(1626)cate
vmis3s0;0,909212;0,837532;0,609887;0,738525;0,411299;0,524126;0,753537;0,580601;0,506954;0,674565;0,850092;0,754613;0,803547;0,774639;0,654234;0,772719;0,538969;0,778234;0,641238;0,479012;0,456792;0,617661;0,399061;0,587930;0,578743;0,803816;0,656247;0,748819;0,451531;0,872364;0,399614;0,622022;0,672715;0,641817;0,905181;0,639280;0,355288;0,671622
dp3csn;0,655168;0,719754;0,530961;0,628662;0,756064;0,653807;0,604251;0,691598;0,500455;0,555524;0,754932;0,843795;0,734275;0,703033;0,563995;0,798263;0,581360;0,466941;0,753619;0,472709;0,738377;0,631236;0,575117;0,622514;0,762579;0,496667;0,440376;0,596147;0,578524;0,982468;0,626981;0,655109;0,623341;0,530733;0,597034;0,426187;0,560262;0,704225
i;0,340955;0,588890;0,430509;0,659180;0,780258;0,788891;0,504727;0,409836;0,708436;0,521512;0,831060;0,816355;0,630369;0,527275;0,646714;0,779105;0,750924;0,466941;0,654459;0,485315;0,444278;0,957035;0,710094;0,697447;0,469803;0,607764;0,803039;0,261723;0,472696;0,635216;0,558082;0,681578;0,857866;0,814614;0,629133;0,514976;0,198142;0,541210
vmis1s0;0,869100;0,687038;0,581187;0,439453;0,302425;0,464689;0,568707;0,281762;0,565449;0,685902;0,596333;0,521369;0,588806;0,397084;0,421116;0,447027;0,508690;0,597684;0,667680;0,327745;0,481822;0,712686;0,240610;0,651334;0,401716;0,601229;0,518090;0,508906;0,289262;0,220208;0,434064;0,436739;0,506079;0,450506;0,404442;0,568249;0,348456;0,430360
nccs000;0,354325;0,229013;0,444859;0,671387;0,350814;0,389042;0,419421;1,118511;0,435461;0,544187;0,729557;0,507649;0,519534;0,318969;0,503835;0,319305;0,545025;0,336197;0,469359;0,315139;0,456792;0,475124;0,622066;0,501470;0,503847;0,339825;0,440376;0,305344;0,677296;0,626747;0,551192;0,330863;0,425847;0,475191;0,340245;0,248609;0,382618;0,410798
vmg0000;0,407809;0,386050;0,466384;0,494385;0,290328;0,443076;0,710884;0,648907;0,506954;0,538518;0,348918;0,569390;0,346356;0,624919;0,451196;0,376780;0,423908;0,379778;0,396642;0,352956;0,538139;0,502274;0,293427;0,478414;0,428951;0,379035;0,414472;0,516176;0,761959;0,431947;0,468513;0,516146;0,462877;0,394964;0,365924;0,343317;0,266466;0,599896
dd00;0,528145;0,327161;0,509435;0,469971;0,471784;0,453882;0,362551;0,589139;0,454959;0,453489;0,406014;0,514509;0,415628;0,331988;0,421116;0,549205;0,436020;0,348649;0,555298;0,485315;0,513109;0,509061;0,492958;0,368897;0,401716;0,320220;0,449011;0,414395;0,395090;0,457356;0,461623;0,350715;0,598655;0,543076;0,372344;0,514976;0,512435;0,391236
pp2cp00;0,828988;0,588890;0,545311;0,329590;0,538317;0,486302;0,561598;0,332992;0,493956;0,623547;0,183975;0,349866;0,498753;0,371045;0,563995;0,491730;0,387573;0,479392;0,469359;0,365562;0,356674;0,278287;0,287559;0,507234;0,115749;0,418246;0,587169;0,683388;0,416255;0,525112;0,110238;0,357332;0,493736;0,394964;0,365924;0,603765;0,355288;0,423839
aq0cp00;0,334269;0,346791;0,330057;0,439453;0,381056;0,280975;0,348333;0,503757;0,402964;0,493169;0,329886;0,336146;0,540316;0,403593;0,413596;0,300147;0,520802;0,392230;0,416474;0,579856;0,675803;0,502274;0,346244;0,317021;0,619596;0,535878;0,492185;0,312614;0,571469;0,457356;0,392724;0,330863;0,327100;0,518391;0,455800;0,396591;0,833561;0,306468
dp2css;0,173820;0,366420;0,272656;0,543213;0,368959;0,432269;0,191939;0,256148;0,363967;0,192733;0,532893;0,445908;0,401773;0,397084;0,511355;0,478958;0,357294;0,311294;0,482581;0,611370;0,575684;0,576936;0,651408;0,368897;0,640022;0,444386;0,233140;0,312614;0,324538;0,406538;0,482293;0,489677;0,580139;0,357936;0,494319;0,278205;0,389451;0,358633
vmsi3s0;0,628426;0,425309;0,530961;0,390625;0,405250;0,367429;0,291462;0,298839;0,428961;0,470495;0,418702;0,343006;0,332502;0,611899;0,421116;0,478958;0,296736;0,242809;0,350367;0,397076;0,287842;0,447974;0,293427;0,397717;0,245115;0,490132;0,379933;0,414395;0,324538;0,474295;0,289376;0,489677;0,438190;0,333251;0,552096;0,396591;0,423613;0,449922
vaip3s0;0,474662;0,458025;0,322882;0,335693;0,489929;0,356622;0,355442;0,264686;0,311972;0,340117;0,380638;0,349866;0,325575;0,501237;0,285757;0,440641;0,460243;0,392230;0,370199;0,397076;0,350416;0,454761;0,340376;0,363133;0,333628;0,352895;0,474916;0,414395;0,303372;0,228678;0,275596;0,416887;0,444362;0,364108;0,276048;0,343317;0,252801;0,449922
