;LOPE_AmorConVista(1626)cate;LOPE_AmorPleitoYDesafio(1621)cate;LOPE_AyVerdadesQueEnAmor(1625)cate;LOPE_BastardoMudarra(1612)cate;LOPE_BatallaDelHonor(1608)cate;LOPE_Benavides(1600)cate;LOPE_BizarriasDeBelisa(1634)cate;LOPE_BrasilRestituido(1625)cate;LOPE_BuenaGuarda(1610)cate;LOPE_BurgalesaDeLerma(1613)cate;LOPE_CaballeroDelSacramento(1610)cate;LOPE_CardenalDeBelen(1610)cate;LOPE_CarlosQuintoEnFrancia(1604)cate;LOPE_CastigoSinVenganza(1631)cate;LOPE_CoronaDeHungria(1623)cate;LOPE_CoronaMerecida(1603)cate;LOPE_CuerdoLoco(1602)cate;LOPE_DamaBoba(1613)cate;LOPE_DelMonteSale(1627)cate;LOPE_DesdenVengado(1617)cate;LOPE_DiscordiaEnLosCasados(1611)cate;LOPE_EstefaniaLaDesdichada(1604)cate;LOPE_FavorAgradecido(1593)cate;LOPE_GalanDeLaMembrilla(1615)cate;LOPE_HermosaEster(1610)cate;LOPE_LoQuePasaEnUnaTarde(1617)cate;LOPE_MarquesDeLasNavas(1624)cate;LOPE_MasPuedenCelos(1627)cate;LOPE_MayorVictoriaDeAlemania(1622)cate;LOPE_NinezDelPadreRojas(1625)cate;LOPE_PedroCarbonero(1603)cate;LOPE_PoderEnElDiscreto(1623)cate;LOPE_PrincipeDespenado(1602)cate;LOPE_PruebaDeLosAmigos(1604)cate;LOPE_QuienMasNoPuede(1616)cate;LOPE_SantiagoElVerde(1615)cate;LOPE_SembrarEnBuenaTierra(1616)cate;LOPE_SinSecretoNoHayAmor(1626)cate
vsic1s0;0,006685;0,000000;0,035876;0,000000;0,000000;0,010807;0,014218;0,000000;0,000000;0,000000;0,006344;0,000000;0,006927;0,000000;0,022560;0,006386;0,006056;0,012452;0,000000;0,006303;0,018772;0,013575;0,005869;0,017292;0,000000;0,013070;0,017270;0,007270;0,007055;0,025409;0,006890;0,006617;0,018515;0,006171;0,006420;0,023677;0,000000;0,000000
pt0ms00;0,000000;0,026173;0,000000;0,012207;0,000000;0,000000;0,000000;0,000000;0,012999;0,011337;0,019032;0,006860;0,006927;0,000000;0,007520;0,025544;0,000000;0,012452;0,006611;0,000000;0,006257;0,006787;0,000000;0,005764;0,013617;0,006535;0,000000;0,014540;0,007055;0,000000;0,013780;0,006617;0,000000;0,018514;0,000000;0,011839;0,020497;0,006521
pp2mp00;0,006685;0,000000;0,000000;0,012207;0,006049;0,000000;0,000000;0,017077;0,000000;0,005669;0,006344;0,048021;0,006927;0,000000;0,030080;0,006386;0,048447;0,006226;0,000000;0,006303;0,006257;0,013575;0,000000;0,017292;0,006809;0,000000;0,000000;0,000000;0,007055;0,000000;0,006890;0,006617;0,012343;0,000000;0,000000;0,000000;0,000000;0,000000
vssf1s0;0,020056;0,006543;0,014350;0,006104;0,006049;0,010807;0,014218;0,000000;0,000000;0,011337;0,000000;0,000000;0,000000;0,006510;0,007520;0,006386;0,000000;0,012452;0,013221;0,000000;0,012515;0,000000;0,011737;0,005764;0,000000;0,006535;0,000000;0,007270;0,007055;0,008470;0,006890;0,006617;0,006172;0,006171;0,019259;0,005919;0,013665;0,006521
vssi3p0;0,013371;0,000000;0,007175;0,018311;0,012097;0,000000;0,007109;0,000000;0,006499;0,017006;0,006344;0,000000;0,006927;0,013019;0,007520;0,012772;0,000000;0,000000;0,000000;0,000000;0,006257;0,000000;0,005869;0,005764;0,000000;0,019605;0,008635;0,000000;0,035276;0,008470;0,013780;0,006617;0,000000;0,000000;0,012839;0,011839;0,000000;0,006521
vssp3p0;0,006685;0,006543;0,014350;0,012207;0,000000;0,000000;0,028435;0,017077;0,000000;0,005669;0,006344;0,006860;0,000000;0,006510;0,015040;0,000000;0,006056;0,006226;0,000000;0,000000;0,006257;0,000000;0,005869;0,023056;0,006809;0,013070;0,000000;0,007270;0,028221;0,008470;0,000000;0,006617;0,000000;0,006171;0,006420;0,011839;0,000000;0,000000
ap0mp1s;0,006685;0,000000;0,000000;0,030518;0,006049;0,005403;0,000000;0,000000;0,012999;0,000000;0,006344;0,006860;0,000000;0,000000;0,007520;0,006386;0,000000;0,006226;0,006611;0,000000;0,006257;0,020362;0,017606;0,005764;0,006809;0,000000;0,000000;0,014540;0,000000;0,000000;0,006890;0,026469;0,006172;0,000000;0,000000;0,011839;0,006832;0,006521
ao0mp00;0,006685;0,006543;0,000000;0,012207;0,006049;0,000000;0,000000;0,000000;0,000000;0,005669;0,006344;0,000000;0,000000;0,013019;0,000000;0,006386;0,012112;0,000000;0,013221;0,000000;0,006257;0,006787;0,005869;0,005764;0,006809;0,013070;0,008635;0,007270;0,000000;0,016939;0,013780;0,006617;0,000000;0,006171;0,000000;0,017758;0,000000;0,013041
vasp2s0;0,006685;0,000000;0,007175;0,006104;0,012097;0,005403;0,000000;0,008538;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,012772;0,006056;0,006226;0,000000;0,018908;0,018772;0,006787;0,011737;0,000000;0,006809;0,013070;0,000000;0,007270;0,014110;0,008470;0,000000;0,013235;0,000000;0,000000;0,000000;0,000000;0,006832;0,013041
vssi2s0;0,000000;0,000000;0,000000;0,000000;0,006049;0,010807;0,000000;0,008538;0,000000;0,000000;0,006344;0,000000;0,020781;0,013019;0,000000;0,000000;0,000000;0,000000;0,006611;0,025211;0,000000;0,013575;0,011737;0,000000;0,006809;0,000000;0,000000;0,000000;0,007055;0,000000;0,000000;0,006617;0,012343;0,012343;0,006420;0,005919;0,006832;0,019562
aqs00;0,000000;0,000000;0,000000;0,000000;0,006049;0,010807;0,021327;0,008538;0,012999;0,017006;0,006344;0,013720;0,000000;0,000000;0,022560;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,013575;0,017606;0,000000;0,027235;0,006535;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,011839;0,000000;0,006521
vssp2p0;0,006685;0,000000;0,007175;0,006104;0,006049;0,000000;0,000000;0,008538;0,000000;0,017006;0,006344;0,000000;0,006927;0,000000;0,007520;0,006386;0,000000;0,024903;0,000000;0,000000;0,000000;0,006787;0,005869;0,000000;0,000000;0,032675;0,000000;0,007270;0,000000;0,000000;0,000000;0,000000;0,000000;0,030857;0,000000;0,005919;0,006832;0,000000
ap01p;0,000000;0,006543;0,000000;0,012207;0,000000;0,000000;0,000000;0,000000;0,006499;0,005669;0,000000;0,006860;0,000000;0,000000;0,000000;0,006386;0,012112;0,000000;0,000000;0,000000;0,012515;0,000000;0,011737;0,005764;0,013617;0,006535;0,000000;0,000000;0,007055;0,008470;0,006890;0,006617;0,012343;0,000000;0,006420;0,011839;0,000000;0,026082
vaip1p0;0,000000;0,000000;0,000000;0,000000;0,012097;0,000000;0,000000;0,000000;0,000000;0,011337;0,012688;0,013720;0,013854;0,000000;0,007520;0,006386;0,006056;0,006226;0,013221;0,000000;0,018772;0,000000;0,017606;0,005764;0,000000;0,000000;0,008635;0,000000;0,000000;0,000000;0,006890;0,000000;0,006172;0,006171;0,000000;0,005919;0,000000;0,006521
ncmp00v;0,000000;0,000000;0,000000;0,000000;0,006049;0,000000;0,000000;0,008538;0,006499;0,017006;0,019032;0,013720;0,000000;0,000000;0,007520;0,000000;0,006056;0,024903;0,000000;0,000000;0,000000;0,013575;0,000000;0,005764;0,000000;0,006535;0,000000;0,000000;0,000000;0,016939;0,000000;0,006617;0,000000;0,006171;0,000000;0,000000;0,020497;0,000000
aqv00;0,000000;0,000000;0,000000;0,073242;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,081450;0,000000;0,000000;0,000000;0,000000;0,017270;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,006171;0,000000;0,000000;0,000000;0,000000
vsis2s0;0,000000;0,006543;0,021525;0,000000;0,000000;0,016210;0,000000;0,000000;0,006499;0,005669;0,000000;0,006860;0,000000;0,006510;0,007520;0,000000;0,000000;0,012452;0,006611;0,012606;0,000000;0,000000;0,017606;0,005764;0,013617;0,000000;0,000000;0,000000;0,000000;0,008470;0,000000;0,000000;0,000000;0,012343;0,006420;0,000000;0,000000;0,000000
vag0000;0,000000;0,000000;0,007175;0,000000;0,000000;0,010807;0,014218;0,000000;0,000000;0,005669;0,012688;0,006860;0,000000;0,006510;0,000000;0,000000;0,012112;0,000000;0,019832;0,000000;0,006257;0,000000;0,011737;0,017292;0,000000;0,006535;0,000000;0,007270;0,000000;0,000000;0,000000;0,000000;0,006172;0,000000;0,000000;0,005919;0,000000;0,006521
ap0ms1p;0,006685;0,000000;0,000000;0,006104;0,006049;0,005403;0,000000;0,000000;0,000000;0,000000;0,000000;0,027440;0,006927;0,006510;0,000000;0,006386;0,006056;0,024903;0,000000;0,000000;0,000000;0,000000;0,011737;0,005764;0,020426;0,000000;0,008635;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,005919;0,000000;0,000000
nccn000;0,000000;0,000000;0,007175;0,000000;0,048388;0,000000;0,000000;0,017077;0,006499;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,006226;0,000000;0,000000;0,000000;0,006787;0,005869;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,025409;0,006890;0,000000;0,006172;0,012343;0,000000;0,000000;0,000000;0,013041
aqsms00;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,006499;0,000000;0,000000;0,013720;0,048490;0,000000;0,000000;0,000000;0,000000;0,000000;0,006611;0,000000;0,000000;0,013575;0,017606;0,011528;0,000000;0,000000;0,000000;0,029080;0,000000;0,000000;0,000000;0,000000;0,000000;0,006171;0,000000;0,000000;0,000000;0,000000
di0cp0;0,006685;0,000000;0,000000;0,000000;0,012097;0,000000;0,007109;0,008538;0,000000;0,005669;0,000000;0,000000;0,006927;0,006510;0,007520;0,000000;0,006056;0,000000;0,000000;0,000000;0,000000;0,006787;0,000000;0,000000;0,020426;0,006535;0,008635;0,007270;0,007055;0,000000;0,006890;0,006617;0,012343;0,000000;0,000000;0,000000;0,000000;0,000000
vmic2s0;0,000000;0,000000;0,000000;0,006104;0,012097;0,000000;0,000000;0,000000;0,000000;0,005669;0,000000;0,013720;0,006927;0,000000;0,000000;0,000000;0,000000;0,000000;0,013221;0,000000;0,012515;0,006787;0,005869;0,005764;0,006809;0,006535;0,000000;0,000000;0,000000;0,008470;0,000000;0,006617;0,006172;0,000000;0,000000;0,000000;0,006832;0,006521
vasi2s0;0,000000;0,000000;0,000000;0,000000;0,000000;0,010807;0,000000;0,000000;0,000000;0,005669;0,012688;0,000000;0,000000;0,000000;0,000000;0,000000;0,006056;0,000000;0,006611;0,012606;0,012515;0,006787;0,005869;0,005764;0,006809;0,006535;0,000000;0,000000;0,000000;0,000000;0,000000;0,006617;0,000000;0,006171;0,000000;0,000000;0,000000;0,006521
vsiosp0;0,013371;0,000000;0,000000;0,000000;0,000000;0,005403;0,000000;0,000000;0,006499;0,000000;0,000000;0,000000;0,000000;0,000000;0,015040;0,006386;0,000000;0,006226;0,006611;0,000000;0,000000;0,000000;0,011737;0,005764;0,000000;0,006535;0,008635;0,007270;0,007055;0,000000;0,000000;0,006617;0,000000;0,000000;0,006420;0,005919;0,000000;0,000000
vmsi1p0;0,000000;0,006543;0,000000;0,006104;0,006049;0,000000;0,007109;0,000000;0,000000;0,005669;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,006056;0,006226;0,000000;0,000000;0,006257;0,000000;0,000000;0,000000;0,006809;0,006535;0,017270;0,000000;0,007055;0,000000;0,000000;0,000000;0,000000;0,000000;0,012839;0,000000;0,013665;0,006521
ap0resn;0,006685;0,000000;0,000000;0,000000;0,000000;0,005403;0,000000;0,000000;0,006499;0,011337;0,000000;0,000000;0,000000;0,000000;0,007520;0,000000;0,006056;0,006226;0,000000;0,006303;0,000000;0,006787;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,021166;0,000000;0,006890;0,000000;0,006172;0,000000;0,006420;0,005919;0,000000;0,000000
aq00000;0,000000;0,000000;0,000000;0,000000;0,012097;0,010807;0,000000;0,000000;0,000000;0,005669;0,006344;0,000000;0,013854;0,000000;0,000000;0,000000;0,006056;0,006226;0,000000;0,000000;0,006257;0,000000;0,005869;0,000000;0,013617;0,000000;0,000000;0,000000;0,007055;0,000000;0,013780;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
de0ms0;0,000000;0,000000;0,000000;0,000000;0,012097;0,000000;0,007109;0,000000;0,006499;0,005669;0,000000;0,000000;0,000000;0,000000;0,000000;0,006386;0,000000;0,006226;0,013221;0,000000;0,000000;0,000000;0,005869;0,000000;0,006809;0,006535;0,000000;0,000000;0,000000;0,000000;0,013780;0,006617;0,000000;0,000000;0,000000;0,000000;0,006832;0,006521
dt0cs0;0,006685;0,000000;0,007175;0,012207;0,006049;0,000000;0,000000;0,000000;0,006499;0,000000;0,019032;0,000000;0,006927;0,000000;0,000000;0,006386;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,006809;0,000000;0,000000;0,000000;0,000000;0,008470;0,000000;0,006617;0,000000;0,000000;0,012839;0,000000;0,000000;0,006521
vmic3p0;0,033427;0,000000;0,000000;0,000000;0,000000;0,010807;0,000000;0,000000;0,006499;0,000000;0,000000;0,000000;0,006927;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,008635;0,000000;0,000000;0,000000;0,000000;0,006617;0,006172;0,000000;0,000000;0,011839;0,006832;0,013041
vmis2p0;0,000000;0,000000;0,007175;0,000000;0,000000;0,000000;0,000000;0,017077;0,000000;0,017006;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,006303;0,006257;0,000000;0,005869;0,000000;0,000000;0,006535;0,034539;0,021810;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
vsm02s0;0,006685;0,006543;0,007175;0,000000;0,000000;0,000000;0,000000;0,000000;0,006499;0,005669;0,000000;0,000000;0,000000;0,006510;0,007520;0,000000;0,006056;0,000000;0,000000;0,000000;0,012515;0,000000;0,000000;0,005764;0,006809;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,019852;0,000000;0,000000;0,000000;0,000000;0,006832;0,006521
ap0mp2s;0,000000;0,006543;0,000000;0,000000;0,000000;0,005403;0,000000;0,008538;0,000000;0,005669;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,012452;0,000000;0,006303;0,000000;0,006787;0,005869;0,000000;0,013617;0,006535;0,000000;0,000000;0,000000;0,000000;0,000000;0,006617;0,012343;0,006171;0,000000;0,000000;0,000000;0,000000
vmsresp0;0,000000;0,000000;0,000000;0,006104;0,006049;0,005403;0,000000;0,008538;0,000000;0,000000;0,012688;0,000000;0,000000;0,006510;0,000000;0,000000;0,000000;0,000000;0,000000;0,006303;0,012515;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,008470;0,000000;0,006617;0,000000;0,006171;0,000000;0,000000;0,020497;0,000000
vasp3p0;0,000000;0,000000;0,007175;0,000000;0,000000;0,000000;0,000000;0,017077;0,000000;0,011337;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,006611;0,006303;0,012515;0,000000;0,000000;0,011528;0,000000;0,006535;0,000000;0,007270;0,000000;0,000000;0,013780;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
de00;0,000000;0,000000;0,014350;0,018311;0,000000;0,000000;0,000000;0,000000;0,012999;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,012772;0,000000;0,000000;0,006611;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,006535;0,000000;0,000000;0,000000;0,000000;0,000000;0,006617;0,000000;0,000000;0,000000;0,011839;0,000000;0,000000
vairesp0;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,006499;0,011337;0,000000;0,006860;0,000000;0,006510;0,007520;0,000000;0,000000;0,000000;0,000000;0,000000;0,006257;0,006787;0,005869;0,005764;0,000000;0,006535;0,000000;0,007270;0,000000;0,000000;0,006890;0,000000;0,000000;0,006171;0,000000;0,000000;0,000000;0,000000
vsm03s0;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,008538;0,000000;0,011337;0,000000;0,000000;0,000000;0,000000;0,000000;0,019158;0,000000;0,000000;0,000000;0,000000;0,006257;0,000000;0,000000;0,005764;0,000000;0,000000;0,000000;0,000000;0,007055;0,008470;0,000000;0,000000;0,000000;0,006171;0,019259;0,000000;0,000000;0,000000
ap0mp3n;0,000000;0,000000;0,000000;0,006104;0,000000;0,000000;0,007109;0,000000;0,000000;0,000000;0,006344;0,000000;0,006927;0,000000;0,000000;0,006386;0,000000;0,012452;0,000000;0,000000;0,000000;0,013575;0,000000;0,000000;0,000000;0,013070;0,000000;0,000000;0,000000;0,008470;0,000000;0,000000;0,000000;0,006171;0,000000;0,000000;0,000000;0,000000
p01cp00;0,000000;0,000000;0,000000;0,000000;0,000000;0,005403;0,007109;0,000000;0,006499;0,000000;0,000000;0,006860;0,006927;0,000000;0,000000;0,006386;0,000000;0,000000;0,000000;0,000000;0,006257;0,000000;0,005869;0,000000;0,000000;0,000000;0,000000;0,007270;0,007055;0,000000;0,000000;0,000000;0,000000;0,012343;0,000000;0,000000;0,006832;0,000000
vasi3p0;0,000000;0,000000;0,007175;0,006104;0,000000;0,000000;0,000000;0,008538;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,006611;0,006303;0,006257;0,000000;0,000000;0,005764;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,013780;0,000000;0,006172;0,006171;0,000000;0,005919;0,000000;0,006521
vmii1p0;0,000000;0,006543;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,006499;0,005669;0,000000;0,000000;0,000000;0,006510;0,007520;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,005764;0,000000;0,013070;0,008635;0,000000;0,007055;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,019562
pt0mp00;0,000000;0,000000;0,000000;0,000000;0,000000;0,005403;0,000000;0,000000;0,000000;0,000000;0,000000;0,027440;0,000000;0,000000;0,000000;0,006386;0,000000;0,000000;0,000000;0,006303;0,000000;0,000000;0,005869;0,005764;0,000000;0,000000;0,000000;0,000000;0,007055;0,000000;0,013780;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
pt0cp00;0,000000;0,006543;0,000000;0,000000;0,006049;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,006860;0,006927;0,000000;0,000000;0,006386;0,000000;0,000000;0,006611;0,000000;0,000000;0,006787;0,005869;0,000000;0,000000;0,000000;0,000000;0,000000;0,007055;0,000000;0,000000;0,000000;0,006172;0,000000;0,000000;0,000000;0,000000;0,006521
pp200;0,006685;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,008538;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,006226;0,000000;0,012606;0,000000;0,000000;0,000000;0,005764;0,000000;0,006535;0,000000;0,000000;0,007055;0,000000;0,006890;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,006521
pr0cp00;0,000000;0,000000;0,000000;0,006104;0,000000;0,005403;0,000000;0,000000;0,000000;0,000000;0,000000;0,013720;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,013617;0,000000;0,000000;0,000000;0,000000;0,000000;0,013780;0,000000;0,006172;0,000000;0,000000;0,000000;0,000000;0,006521
vaioss0;0,006685;0,006543;0,000000;0,012207;0,000000;0,000000;0,000000;0,000000;0,000000;0,011337;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,006787;0,000000;0,000000;0,006809;0,000000;0,008635;0,000000;0,000000;0,000000;0,000000;0,000000;0,006172;0,000000;0,000000;0,000000;0,000000;0,000000
ap0mp2p;0,000000;0,000000;0,000000;0,000000;0,006049;0,000000;0,000000;0,000000;0,006499;0,000000;0,000000;0,000000;0,000000;0,006510;0,000000;0,000000;0,000000;0,006226;0,006611;0,000000;0,006257;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,007055;0,008470;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,006832;0,000000
aqvms00;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,007109;0,000000;0,006499;0,000000;0,000000;0,006860;0,020781;0,000000;0,000000;0,006386;0,006056;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,006171;0,000000;0,000000;0,000000;0,000000
de0cs0;0,000000;0,006543;0,000000;0,006104;0,006049;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,006510;0,000000;0,006386;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,005764;0,000000;0,000000;0,008635;0,000000;0,014110;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
dt00;0,000000;0,006543;0,000000;0,000000;0,006049;0,000000;0,000000;0,000000;0,006499;0,000000;0,000000;0,006860;0,000000;0,006510;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,005764;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,006171;0,000000;0,005919;0,000000;0,006521
vam02p0;0,000000;0,006543;0,007175;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,007520;0,000000;0,000000;0,006226;0,013221;0,000000;0,000000;0,006787;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,006420;0,005919;0,000000;0,000000
vmsp1s0;0,000000;0,000000;0,000000;0,000000;0,000000;0,005403;0,000000;0,000000;0,006499;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,006386;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,011737;0,000000;0,006809;0,000000;0,008635;0,000000;0,000000;0,000000;0,000000;0,000000;0,006172;0,000000;0,000000;0,005919;0,000000;0,000000
vaii2s0;0,000000;0,006543;0,000000;0,000000;0,000000;0,005403;0,000000;0,000000;0,006499;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,013780;0,006617;0,006172;0,006171;0,000000;0,000000;0,000000;0,000000
ap0mp1p;0,006685;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,017077;0,000000;0,000000;0,000000;0,000000;0,000000;0,006510;0,007520;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,014110;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
de0mp0;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,006499;0,005669;0,006344;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,005764;0,006809;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,006617;0,000000;0,000000;0,000000;0,000000;0,006832;0,000000
vaii3p0;0,000000;0,006543;0,000000;0,000000;0,000000;0,000000;0,014218;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,006510;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,006809;0,000000;0,000000;0,000000;0,000000;0,000000;0,006890;0,000000;0,000000;0,006171;0,000000;0,000000;0,000000;0,000000
vsif1p0;0,000000;0,000000;0,000000;0,000000;0,006049;0,000000;0,000000;0,000000;0,012999;0,000000;0,006344;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,007055;0,000000;0,000000;0,013235;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
vsii2s0;0,000000;0,006543;0,007175;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,006056;0,000000;0,026443;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
dt0mp0;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,006611;0,000000;0,012515;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,006171;0,006420;0,000000;0,000000;0,006521
pp100;0,000000;0,000000;0,000000;0,000000;0,000000;0,005403;0,000000;0,008538;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,007520;0,000000;0,000000;0,012452;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,006420;0,000000;0,000000;0,000000
vaiosp0;0,000000;0,006543;0,000000;0,000000;0,006049;0,000000;0,000000;0,000000;0,006499;0,005669;0,000000;0,000000;0,000000;0,000000;0,000000;0,006386;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,008635;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
dt0ms0;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,006927;0,000000;0,000000;0,006386;0,006056;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,006617;0,000000;0,000000;0,000000;0,000000;0,006832;0,000000
pt000;0,000000;0,000000;0,000000;0,000000;0,006049;0,005403;0,007109;0,008538;0,006499;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
vais3s0;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,007109;0,000000;0,000000;0,000000;0,006344;0,000000;0,013854;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,006809;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000
vais1s0;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;0,005764;0,000000;0,000000;0,000000;0,007270;0,000000;0,000000;0,006890;0,006617;0,000000;0,006171;0,000000;0,000000;0,000000;0,000000
